cohorte,seguimiento,area,modalidad,virtual,programas,graduados,cotizantes,tasa
2022,2023,"Ciencias Sociales, Periodismo E Informacion",Presencial,0,539,36944,18258,0.494207
2022,2023,Educacion,Presencial,0,502,17165,8839,0.514943
2022,2023,"Ingenieria, Industria Y Construccion",Presencial,0,1390,75972,49856,0.656242
2022,2023,Salud Y Bienestar,Presencial,0,357,24005,14497,0.603916
2022,2023,Servicios,Presencial,0,172,20967,5010,0.238947
2022,2023,Tecnologias De La Informacion Y La Comunicacion (Tic),Presencial,0,303,13706,8931,0.651612
2022,2023,Administracion De Empresas Y Derecho,Virtual,1,185,22664,15679,0.691802
2022,2023,"Agropecuario, Silvicultura, Pesca Y Veterinaria",Virtual,1,6,53,24,0.45283
2022,2023,Arte Y Humanidades,Virtual,1,20,371,175,0.471698
2022,2023,"Ciencias Naturales, Matematicas Y Estadistica",Virtual,1,3,288,139,0.482639
2022,2023,"Ciencias Sociales, Periodismo E Informacion",Virtual,1,25,4642,2040,0.439466
2022,2023,Educacion,Virtual,1,18,2307,1401,0.607282
2022,2023,"Ingenieria, Industria Y Construccion",Virtual,1,38,5724,4052,0.707897
2022,2023,Salud Y Bienestar,Virtual,1,1,163,106,0.650307
2022,2023,Servicios,Virtual,1,13,290,184,0.634483
2022,2023,Tecnologias De La Informacion Y La Comunicacion (Tic),Virtual,1,27,2680,1620,0.604478
